"Name","Position","PosRk","Team","Underdog"
"Cade Otton","TE","TE19","TB","175.4"
"Tyler Conklin","TE","TE20","NYJ","176.6"
"Will Levis","QB","QB24","TEN","177.2"
"Marvin Mims Jr.","WR","WR79","DEN","177.5"
"Isaiah Likely","TE","TE21","BLT","179.9"
"Demarcus Robinson","WR","WR80","LAR","179.9"
"J.K. Dobbins","RB","RB54","LAC","181.7"
"Khalil Herbert","RB","RB55","CHI","182.6"
"Noah Fant","TE","TE22","SEA","183.4"
"Elijah Mitchell","RB","RB56","SF","184.4"
"Braelon Allen","RB","RB57","NYJ","185.5"
"Chig Okonkwo","TE","TE23","TEN","187.9"
"Bryce Young","QB","QB25","CAR","190.5"
"Jalen McMillan","WR","WR81","TB","191.2"
"Javon Baker","WR","WR82","NE","193.4"
"Drake Maye","QB","QB26","NE","195.0"
"Roschon Johnson","RB","RB58","CHI","196.8"
"Dameon Pierce","RB","RB59","HOU","197.3"
"Daniel Jones","QB","QB27","NYG","197.8"
"Zay Jones","WR","WR83","JAX","199.1"
"Derek Carr","QB","QB28","NO","201.2"
"Devontez Walker","WR","WR84","BLT","201.2"
"Jelani Woods","TE","TE24","IND","204.1"
"Tyler Boyd","WR","WR85","CIN","204.4"
"J.J. McCarthy","QB","QB29","MIN","204.4"
"Darius Slayton","WR","WR86","NYG","206.8"
"Bo Nix","QB","QB30","DEN","207.1"
"Russell Wilson","QB","QB31","PIT","208.4"
"Juwan Johnson","TE","TE25","NO","209.0"
"Tank Bigsby","RB","RB60","JAX","209.0"
"Ja'Tavion Sanders","TE","TE26","CAR","210.8"
"Justin Fields","QB","QB32","PIT","211.0"
"Keaton Mitchell","RB","RB61","BLT","211.7"
"Jalin Hyatt","WR","WR87","NYG","212.7"
"Alexander Mattison","RB","RB62","LV","212.7"
"Audric Estime","RB","RB63","DEN","212.9"
"Dawson Knox","TE","TE27","BUF","213.1"
"Elijah Moore","WR","WR88","CLV","213.3"
"Tucker Kraft","TE","TE28","GB","213.7"
"Will Shipley","RB","RB64","PHI","213.9"
"Dylan Laube","RB","RB65","LV","214.4"
"Greg Dulcich","TE","TE29","DEN","214.6"
"Malik Washington","WR","WR89","MIA","214.8"
"A.T. Perry","WR","WR90","NO","214.9"
"Josh Reynolds","WR","WR91","DEN","215.2"
"Tre Tucker","WR","WR92","LV","215.3"
"Michael Mayer","TE","TE30","LV","215.4"
"Noah Brown","WR","WR93","HOU","215.5"
"Jauan Jennings","WR","WR93","SF","215.5"
"Kenneth Gainwell","RB","RB66","PHI","215.6"
"Brenden Rice","WR","WR95","LAC","215.6"
"AJ Dillon","RB","RB67","GB","215.7"
"Allen Lazard","WR","WR96","NYJ","215.7"
"Trey Palmer","WR","WR97","TB","215.8"
"Andrei Iosivas","WR","WR97","CIN","215.8"
"Justice Hill","RB","RB68","BLT","215.8"
"Michael Penix Jr.","QB","QB33","ATL","215.8"
"Treylon Burks","WR","WR99","TEN","215.9"
"Miles Sanders","RB","RB69","CAR","215.9"
"Jonathan Mingo","WR","WR99","CAR","215.9"
"Alec Pierce","WR","WR99","IND","215.9"
"Gerald Everett","TE","TE31","CHI","215.9"
"Jacob Cowing","WR","WR99","SF","215.9"
"Donald Parham Jr.","TE","TE31","LAC","215.9"
"Michael Thomas","WR","WR99","NO","215.9"
"Darren Waller","TE","TE33","NYG","216.0"
"Davis Allen","TE","TE33","LAR","216.0"
"Israel Abanikanda","RB","RB70","NYJ","216.0"
"Chris Rodriguez","RB","RB70","WAS","216.0"
"Frank Gore Jr.","RB","RB70","BUF","216.0"
"Brevin Jordan","TE","TE33","HOU","216.0"
"Jamari Thrash","WR","WR104","CLV","216.0"
"Dillon Johnson","RB","RB70","TEN","216.0"
"Johnny Wilson","WR","WR104","PHI","216.0"
"Cody Schrader","RB","RB70","SF","216.0"
"Michael Carter","RB","RB70","ARZ","216.0"
"Kenny Pickett","QB","QB34","PHI","216.0"
